accX,accY,accZ,gyroX,gyroY,gyroZ,angleX
0.3818,0.8154,1.623,20.5688,3.7842,7.4463,27.356
0.3848,0.8281,1.6274,20.874,5.6152,6.958,27.735
0.376,0.8296,1.626,21.3623,6.4697,6.1646,27.933
0.3569,0.8257,1.6245,21.1182,6.4087,5.249,28.13
0.332,0.8105,1.6172,21.4233,4.3945,3.7842,28.334
0.332,0.8149,1.6162,23.2544,1.3428,2.3804,28.334
0.3555,0.8267,1.604,22.583,-0.4272,1.5259,28.784
0.3701,0.8398,1.5908,23.3154,0.3052,0.9155,29.015
0.3687,0.8745,1.5732,21.8506,3.1128,0.8545,29.229
0.3521,0.8916,1.5601,19.2871,5.9204,1.4038,29.416
0.3228,0.8921,1.5527,17.5781,7.3853,2.5024,29.581
0.2964,0.8843,1.5605,17.334,6.8359,3.3569,29.74
0.2798,0.8711,1.5762,17.9443,3.479,2.9907,29.91
0.2729,0.8516,1.5928,20.1416,-0.9766,2.8687,30.108
0.293,0.8223,1.6147,26.4893,-4.5166,2.5024,30.377
0.3237,0.8442,1.6265,34.8511,-6.4087,1.5869,30.729
0.3481,0.8921,1.6392,36.0107,-5.9814,1.6479,31.091
0.3721,0.9272,1.6465,36.0107,-4.1504,2.6855,31.448
0.3823,0.9482,1.6504,34.9121,-0.9155,4.8218,31.794
0.3789,0.9487,1.6411,32.4707,2.5635,7.4463,32.102
0.3667,0.937,1.6245,29.8462,6.5918,9.3384,32.382
0.3477,0.9248,1.6235,28.6865,9.5215,9.8267,32.64
0.3315,0.9282,1.624,28.5645,10.437,9.1553,32.899
0.3247,0.9385,1.6289,29.541,10.3149,7.8735,33.173
0.3193,0.9497,1.6357,30.5786,9.3994,7.5073,33.459
0.3149,0.9482,1.6411,32.4097,7.5073,8.8501,33.761
0.3188,0.9497,1.6504,34.3628,6.0425,10.8643,34.08
0.3247,0.9424,1.6553,36.377,5.0659,12.207,34.42
0.3413,0.936,1.6514,38.6353,4.5776,12.146,34.783
0.3467,0.9458,1.6353,40.2832,5.188,10.7422,35.162
0.354,0.9644,1.6152,41.0156,6.6528,8.7891,35.552
0.3657,0.9932,1.6016,39.917,8.5449,7.3242,35.931
0.3726,1.0215,1.5957,37.4146,10.9253,6.0425,36.282
0.3535,1.0288,1.5923,33.5083,14.0991,5.3711,36.595
0.3315,1.0259,1.6074,32.959,13.5498,7.0801,36.898
0.3135,1.0166,1.6133,32.1045,12.8174,8.5449,37.194
0.2925,1,1.6143,33.02,11.1084,9.8267,37.496
0.2783,0.9893,1.6069,34.668,7.8125,9.7656,37.82
0.2778,0.9961,1.5928,36.438,4.2114,8.4229,38.167
0.3052,1.0288,1.5806,36.1938,1.8921,5.7983,38.518
0.3379,1.0596,1.5737,32.6538,1.1597,2.7466,38.837
0.3618,1.0791,1.5669,27.6489,1.77,1.2207,39.111
0.3359,1.0854,1.5645,20.4468,5.188,-0.3662,39.342
0.2861,1.0688,1.5571,18.3716,4.3945,-1.709,39.54
0.2534,1.0566,1.5552,19.4702,1.9531,-2.6245,39.721
0.2568,1.0605,1.5752,21.5454,-0.6104,-2.6855,39.913
0.292,1.0649,1.5942,22.4609,-3.1128,-1.4038,40.133
0.3311,1.064,1.6021,21.9116,-4.0894,0.9155,40.364
0.3516,1.0654,1.6011,20.874,-3.418,2.6245,40.589
0.3423,1.0703,1.5806,18.6768,-2.7466,2.8687,40.798
0.3262,1.0703,1.5596,17.5781,-2.9907,1.2817,40.984
0.3242,1.083,1.5571,18.2495,-2.3804,-1.1597,41.16
0.3154,1.1011,1.5649,18.3716,-3.0518,-3.2349,41.539
0.3169,1.0942,1.5869,17.7002,-3.2349,-4.6387,41.726
0.3169,1.0825,1.6089,19.5312,-2.5024,-4.2725,41.935
0.3169,1.0742,1.6221,21.7285,-2.6245,-2.5024,42.155
0.334,1.0957,1.6177,22.7661,-2.2583,-2.8076,42.391
0.3438,1.0957,1.5835,16.1133,0.3662,-5.9814,42.561
0.3354,1.0991,1.5742,20.6909,2.0142,-3.2959,42.77
0.3452,1.1431,1.5713,20.4468,3.418,-6.1646,42.979
0.3374,1.1367,1.5801,17.0288,3.0518,-8.4839,43.154
0.3242,1.1172,1.5879,17.2119,3.6621,-10.6201,43.336
0.3159,1.1216,1.5991,16.7847,3.1128,-11.4136,43.517
0.3159,1.1401,1.5977,16.2964,2.5024,-9.5215,43.687
0.3213,1.1602,1.5938,16.2354,3.1128,-7.8735,43.857
0.3237,1.1704,1.5894,15.686,4.3335,-7.2632,44.017
0.3223,1.1768,1.5874,13.6108,5.3711,-6.8359,44.154
0.3115,1.1685,1.5771,10.8032,5.188,-6.1035,44.264
0.3057,1.1582,1.563,9.2773,4.5776,-5.9814,44.357
0.3081,1.1519,1.564,8.667,5.188,-6.4087,44.445
0.3086,1.1431,1.5776,8.3618,6.0425,-6.5918,44.533
0.3018,1.1392,1.5859,9.3384,6.7139,-5.5542,44.621
0.3022,1.1523,1.6016,11.4136,7.5684,-4.0894,44.736
0.3027,1.1636,1.6138,12.146,7.8735,-2.5024,44.852
0.3027,1.1421,1.6025,15.1978,7.0801,-0.9766,44.995
0.3076,1.1616,1.5908,17.8833,8.5449,-0.9766,45.165
0.3057,1.1782,1.5879,14.2212,8.5449,-1.4038,45.297
0.3076,1.167,1.5718,10.437,7.2021,-1.4038,45.396
0.3193,1.1211,1.5752,9.7046,9.1553,-2.8076,45.483
0.3164,1.1221,1.584,10.498,10.1318,-3.9062,45.577
0.3096,1.1494,1.5923,12.0239,11.4136,-4.0894,45.676
0.2979,1.1846,1.5991,12.3901,11.9019,-3.7842,45.786
0.2969,1.2065,1.6025,11.5356,11.2305,-3.1128,45.901
0.3081,1.2148,1.6045,9.7046,11.2915,-2.8687,46.005
0.311,1.2046,1.5972,7.6294,11.5356,-2.8687,46.093
0.2988,1.1958,1.5796,6.5308,12.9395,-2.0752,46.214
0.2739,1.2002,1.563,5.7373,13.6719,-0.7935,46.214
0.2471,1.1982,1.5464,4.1504,12.6953,-0.7324,46.291
0.2319,1.1929,1.5464,3.54,10.5591,-1.77,46.318
0.2329,1.1968,1.5571,3.6011,7.8735,-2.8076,46.346
0.2441,1.2017,1.5571,3.2349,5.4321,-2.8687,46.346
0.2617,1.2056,1.5586,2.6245,4.6387,-2.4414,46.401
0.2666,1.2061,1.563,2.0142,4.9438,-1.77,46.417
0.2578,1.21,1.563,1.8921,5.4932,0,46.434
0.2466,1.2144,1.5659,1.4648,5.249,2.8687,46.439
0.2422,1.2114,1.5664,0.6104,3.8452,5.127,46.439
0.2476,1.2109,1.5571,-0.4883,2.3193,6.1646,46.423
0.2549,1.2119,1.5503,-2.2583,1.6479,6.2866,46.395
0.2622,1.2124,1.5493,-3.9062,1.2817,6.4087,46.346
0.269,1.207,1.5439,-5.3101,1.1597,6.6528,46.285
0.2656,1.1987,1.5439,-6.0425,2.0752,7.5073,46.219
0.2622,1.2007,1.5591,-5.9204,2.8076,8.606,46.148
0.2637,1.2007,1.5825,-6.5308,3.1738,9.5215,46.071
0.2466,1.1758,1.5732,-7.2632,1.709,10.7422,45.989
0.2437,1.1396,1.5396,-1.2207,-0.1831,11.0474,45.967
0.2437,1.1968,1.5405,-2.5024,-0.3052,8.7891,45.934
0.2554,1.2412,1.5454,-10.2539,-3.8452,6.5918,45.824
0.2993,1.2358,1.5415,-16.7847,-5.6152,4.2725,45.659
0.3345,1.21,1.5479,-22.1558,-3.2349,2.7466,45.439
0.3379,1.1646,1.5576,-26.2451,0.7935,2.9907,45.17
0.3037,1.1279,1.564,-26.7944,5.5542,4.3945,44.896
0.2476,1.1187,1.5664,-25.3906,7.6904,6.2866,44.626
0.2241,1.1284,1.561,-22.9492,3.6621,6.5918,44.374
0.2354,1.1191,1.563,-22.4609,0,5.6152,44.138
0.252,1.1235,1.5718,-21.6064,-2.9907,4.1504,43.907
